Ref,Common_group,Common_species,Genus,Species,fp,fpn,fp_last,ad,adn,ad_last
1049,Prinia,Drakensberg,Prinia,hypoxantha,3.3165,10940,2024-05-30,0.4979,1517,2024-05-28
4139,Prinia,Karoo,Prinia,maculosa,19.8118,65353,2024-05-31,3.6227,11038,2024-05-31
651,Prinia,Spotted,Prinia,hypoxantha,0.0000,0,-,0.0007,2,2017-01-06
649,Prinia,Tawny-flanked,Prinia,subflava,31.8626,105105,2024-06-01,5.4009,16456,2024-05-31
22,Prion,Antarctic,Pachyptila,desolata,0.0064,21,2023-07-08,0.0023,7,2023-06-25
712,Puffback,Black-backed,Dryoscopus,cubla,23.0349,75985,2024-05-31,4.3789,13342,2024-05-27
830,Pytilia,Green-winged,Pytilia,melba,6.7145,22149,2024-05-30,1.3430,4092,2024-05-23
829,Pytilia,Orange-winged,Pytilia,afra,0.0233,77,2024-02-04,0.0059,18,2023-12-17
189,Quail,Common,Coturnix,coturnix,3.4223,11289,2024-05-23,0.6557,1998,2024-05-22
190,Quail,Harlequin,Coturnix,delegorguei,0.4317,1424,2024-03-23,0.1841,561,2024-02-09
805,Quelea,Red-billed,Quelea,quelea,22.3455,73711,2024-06-01,4.8121,14662,2024-06-01
806,Quelea,Red-headed,Quelea,erythrops,0.2401,792,2024-03-31,0.0354,108,2024-01-13
197,Rail,African,Rallus,caerulescens,2.2036,7269,2024-05-28,0.2688,819,2024-05-18
524,Raven,White-necked,Corvus,albicollis,12.3549,40755,2024-05-31,2.6624,8112,2024-05-28
261,Redshank,Common,Tringa,totanus,0.0185,61,2024-05-23,0.0026,8,2024-04-29
589,Robin,White-starred,Pogonocichla,stellata,0.7636,2519,2024-05-24,0.1155,352,2024-05-05
581,Robin-Chat,Cape,Cossypha,caffra,45.8761,151331,2024-06-01,7.9353,24178,2024-09-08
578,Robin-Chat,"Chorister Robin-Chat",Cossypha,dichroa,2.6471,8732,2024-05-27,0.3715,1132,2024-05-05
579,Robin-Chat,Red-capped,Cossypha,natalensis,6.0560,19977,2024-05-31,0.8044,2451,2024-05-28
580,Robin-Chat,White-browed,Cossypha,heuglini,4.0613,13397,2024-05-30,0.5327,1623,2024-05-18
582,Robin-Chat,White-throated,Cossypha,humeralis,5.7838,19079,2024-05-29,0.6443,1963,2024-05-15
540,Rockjumper,Cape,Chaetops,frenatus,0.2265,747,2024-03-30,0.0906,276,2024-05-08
1038,Rockjumper,"Drakensberg ",Chaetops,aurantius,0.0864,285,2024-04-06,0.0279,85,2023-12-23
416,Roller,Broad-billed,Eurystomus,glaucurus,1.0783,3557,2024-03-20,0.2501,762,2024-03-14
412,Roller,European,Coracias,garrulus,3.1134,10270,2024-04-08,2.0326,6193,2024-04-06
413,Roller,Lilac-breasted,Coracias,caudatus,10.3217,34048,2024-05-31,5.1603,15723,2024-05-31
415,Roller,Purple,Coracias,naevius,2.2230,7333,2024-05-25,0.8852,2697,2024-05-31
414,Roller,Racket-tailed,Coracias,spatulatus,0.0946,312,2024-05-25,0.0223,68,2024-04-05
308,Sandgrouse,Burchell's,Pterocles,burchelli,0.4644,1532,2024-05-16,0.1162,354,2024-05-03
310,Sandgrouse,Double-banded,Pterocles,bicinctus,1.9966,6586,2024-05-31,0.5222,1591,2024-05-22
307,Sandgrouse,Namaqua,Pterocles,namaqua,2.6747,8823,2024-05-29,0.5970,1819,2024-05-08
309,Sandgrouse,Yellow-throated,Pterocles,gutturalis,0.1243,410,2024-04-22,0.0525,160,2024-04-01
252,Sandpiper,Baird's,Calidris,bairdii,0.0173,57,2022-01-11,0.0118,36,2022-03-12
981,Sandpiper,Broad-billed,Calidris,falcinellus,0.0194,64,2022-10-30,0.0026,8,2021-04-08
926,Sandpiper,Buff-breasted,Calidris,subruficollis,0.0094,31,2023-12-13,0.0046,14,2021-12-30
258,Sandpiper,Common,Actitis,hypoleucos,5.2839,17430,2024-05-03,0.9229,2812,2024-05-10
251,Sandpiper,Curlew,Calidris,ferruginea,2.5753,8495,2024-05-19,0.3623,1104,2024-05-18
259,Sandpiper,Green,Tringa,ochropus,0.0928,306,2024-02-03,0.0161,49,2024-03-30
262,Sandpiper,Marsh,Tringa,stagnatilis,2.0930,6904,2024-06-01,0.3745,1141,2024-03-21
895,Sandpiper,Pectoral,Calidris,melanotos,0.1103,364,2024-02-10,0.0259,79,2024-02-11
257,Sandpiper,Terek,Xenus,cinereus,0.2747,906,2024-05-02,0.0515,157,2024-04-13
997,Sandpiper,White-rumped,Calidris,fuscicollis,0.0130,43,2024-02-03,0.0036,11,2021-11-29
264,Sandpiper,Wood,Tringa,glareola,7.1298,23519,2024-05-16,1.4621,4455,2024-04-21
511,Saw-wing,"Black (Southern Africa)",Psalidoprocne,"pristoptera holomelas",9.5186,31399,2024-05-31,1.3013,3965,2024-05-11
512,Saw-wing,Eastern,Psalidoprocne,orientalis,0.0009,3,2018-12-29,0.0000,0,-
421,Scimitarbill,Common,Rhinopomastus,cyanomelas,7.5845,25019,2024-05-31,1.3410,4086,2024-05-26
585,"Scrub Robin",Bearded,Cercotrichas,quadrivirgata,1.5179,5007,2024-05-30,0.2133,650,2024-05-13
584,"Scrub Robin","Brown Scrub",Cercotrichas,signata,1.2708,4192,2024-05-27,0.1533,467,2024-05-12
586,"Scrub Robin",Kalahari,Cercotrichas,paena,7.0483,23250,2024-05-29,1.3217,4027,2024-05-19
583,"Scrub Robin",Karoo,Cercotrichas,coryphoeus,12.5010,41237,2024-06-01,1.9892,6061,2024-05-31
567,"Scrub Robin",Rufous-tailed,Cercotrichas,galactotes,0.0118,39,2016-09-11,0.0046,14,2016-08-27
588,"Scrub Robin",White-browed,Cercotrichas,leucophrys,17.9262,59133,2024-05-31,3.2160,9799,2024-05-26
867,Seedeater,Streaky-headed,Crithagra,gularis,16.1540,53287,2024-06-01,1.9584,5967,2024-05-31
26,Shearwater,Cory's,Calonectris,borealis,0.0197,65,2022-01-14,0.0010,3,2016-03-20
10702,Shearwater,Cory's,Calonectris,borealis,0.0267,88,2024-04-06,0.0066,20,2024-01-07
881,Shearwater,Flesh-footed,Ardenna,carneipes,0.0033,11,2019-10-31,0.0013,4,2022-12-30
25,Shearwater,Great,Ardenna,gravis,0.0136,45,2024-03-30,0.0056,17,2024-05-08
4153,Shearwater,Manx,Puffinus,puffinus,0.0079,26,2023-06-16,0.0020,6,2023-01-14
29,Shearwater,Sooty,Ardenna,grisea,0.1679,554,2024-05-20,0.0535,163,2024-05-08
28,Shearwater,Tropical,Puffinus,bailloni,0.0003,1,2014-04-18,0.0000,0,-
864,Sheathbill,"Snowy ",Chionis,albus,0.0021,7,2022-10-04,0.0033,10,2022-10-01
1342,Shelduck,Common,Tadorna,tadorna,0.0173,57,2024-05-13,0.0125,38,2023-10-27
1340,Shelduck,Ruddy,Tadorna,ferruginea,0.0088,29,2023-09-13,0.0000,0,-
90,Shelduck,"South African",Tadorna,cana,10.7673,35518,2024-06-01,2.1799,6642,2024-05-29
94,Shoveler,Cape,Spatula,smithii,10.5487,34797,2024-06-01,1.8301,5576,2024-05-28
93,Shoveler,Northern,Spatula,clypeata,0.0021,7,2017-04-30,0.0013,4,2017-04-30
711,Shrike,Crimson-breasted,Laniarius,atrococcineus,7.4614,24613,2024-05-31,1.4067,4286,2024-05-19
706,Shrike,"Lesser Grey",Lanius,minor,3.7615,12408,2024-04-22,1.3069,3982,2024-04-19
2300,Shrike,Magpie,Urolestes,melanoleucus,0.0003,1,2023-11-17,0.0000,0,-
724,Shrike,Magpie,Urolestes,melanoleucus,8.7501,28864,2024-05-31,4.2742,13023,2024-06-01
708,Shrike,Red-backed,Lanius,collurio,9.3522,30850,2024-04-28,2.6745,8149,2024-05-14
7878,Shrike,Red-tailed,Lanius,phoenicuroides,0.0003,1,2023-03-18,0.0003,1,2023-03-19
730,Shrike,"Southern White-crowned",Eurocephalus,anguitimens,2.5941,8557,2024-05-31,0.9232,2813,2024-05-30
855,Siskin,Cape,Crithagra,totta,1.1368,3750,2024-05-24,0.2297,700,2024-05-25
856,Siskin,Drakensberg,Crithagra,symonsi,0.0473,156,2024-03-22,0.0184,56,2023-11-07
306,Skimmer,African,Rynchops,flavirostris,0.0615,203,2024-02-17,0.0299,91,2023-10-18
11763,Skimmer,Black,Rynchops,niger,0.0009,3,2012-10-05,0.0000,0,-
286,Skua,Brown,Stercorarius,antarcticus,0.2525,833,2024-05-25,0.0594,181,2023-12-30
250,Snipe,African,Gallinago,nigripennis,4.0492,13357,2024-06-01,0.5812,1771,2024-05-28
249,Snipe,Great,Gallinago,media,0.0012,4,2021-11-04,0.0007,2,2021-11-06
786,Sparrow,Cape,Passer,melanurus,46.7013,154053,2024-06-01,10.7706,32817,2024-09-08
785,Sparrow,Great,Passer,motitensis,0.7876,2598,2024-05-28,0.1618,493,2024-03-30
787,Sparrow,Grey-headed,Passer,diffusus,0.0006,2,2014-10-06,0.0000,0,-
784,Sparrow,House,Passer,domesticus,35.3343,116557,2024-06-01,6.8404,20842,2024-09-08
3852,Sparrow,"Northern Grey-headed",Passer,griseus,0.0003,1,2008-07-24,0.0003,1,2021-02-20
4142,Sparrow,"Southern Grey-headed",Passer,diffusus,41.3619,136440,2024-06-01,6.5516,19962,2024-05-31
788,Sparrow,"Yellow-throated Bush",Gymnoris,superciliaris,4.6334,15284,2024-05-31,0.7572,2307,2024-05-24
486,Sparrow-Lark,Black-eared,Eremopterix,australis,0.4053,1337,2024-05-02,0.1460,445,2024-04-02
484,Sparrow-Lark,"Chestnut-backed ",Eremopterix,leucotis,1.3442,4434,2024-05-25,0.5087,1550,2024-05-21
485,Sparrow-Lark,Grey-backed,Eremopterix,verticalis,2.1954,7242,2024-05-31,0.6203,1890,2024-05-17
780,Sparrow-Weaver,"White-browed ",Plocepasser,mahali,15.3485,50630,2024-06-01,3.6883,11238,2024-05-26
159,Sparrowhawk,Black,Accipiter,melanoleucus,5.6210,18542,2024-05-29,0.9528,2903,2024-05-25
158,Sparrowhawk,Little,Accipiter,minullus,2.4819,8187,2024-05-25,0.3843,1171,2024-05-21
157,Sparrowhawk,Ovambo,Accipiter,ovampensis,1.5057,4967,2024-05-29,0.1739,530,2024-05-02
156,Sparrowhawk,Rufous-breasted,Accipiter,rufiventris,0.6266,2067,2024-05-26,0.1382,421,2024-05-26
389,Spinetail,Böhm's,Neafrapus,boehmi,0.1849,610,2024-05-25,0.0223,68,2024-02-10
388,Spinetail,Mottled,Telacanthura,ussheri,0.1276,421,2024-05-25,0.0118,36,2024-03-16
85,Spoonbill,African,Platalea,alba,11.7004,38596,2024-05-31,2.4766,7546,2024-05-30
181,Spurfowl,Cape,Pternistis,capensis,9.2094,30379,2024-06-01,1.6692,5086,2024-05-29
183,Spurfowl,Natal,Pternistis,natalensis,17.6882,58348,2024-05-31,3.5987,10965,2024-05-31
