Pentad,Spp,Common_group,Common_species,Genus,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Records,Total_Cards,ReportingRate
2650_3210,579,Robin-Chat,Red-capped,Cossypha,natalensis,75.0,22.2,46.7,61.5,54.5,33.3,42.9,25.0,44.4,40.0,41.4,42.3,67,149,45.0
2650_3210,580,Robin-Chat,White-browed,Cossypha,heuglini,37.5,44.4,20.0,23.1,0.0,0.0,14.3,50.0,44.4,66.7,62.1,23.1,54,149,36.2
2650_3210,582,Robin-Chat,White-throated,Cossypha,humeralis,12.5,0.0,33.3,23.1,18.2,0.0,0.0,0.0,0.0,13.3,24.1,11.5,23,149,15.4
2650_3210,584,"Scrub Robin","Brown Scrub",Cercotrichas,signata,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,11.1,13.3,0.0,7.7,6,149,4.0
2650_3210,585,"Scrub Robin",Bearded,Cercotrichas,quadrivirgata,25.0,22.2,46.7,15.4,18.2,66.7,42.9,25.0,66.7,40.0,24.1,7.7,42,149,28.2
2650_3210,588,"Scrub Robin",White-browed,Cercotrichas,leucophrys,62.5,44.4,40.0,61.5,81.8,33.3,57.1,50.0,55.6,60.0,75.9,73.1,94,149,63.1
2650_3210,596,Warbler,Icterine,Hippolais,icterina,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,149,0.7
2650_3210,599,Warbler,Willow,Phylloscopus,trochilus,12.5,44.4,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,23.1,18,149,12.1
2650_3210,600,Eremomela,Yellow-bellied,Eremomela,icteropygialis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,1,149,0.7
2650_3210,601,Eremomela,Burnt-necked,Eremomela,usticollis,25.0,44.4,13.3,23.1,9.1,33.3,28.6,50.0,44.4,40.0,13.8,11.5,34,149,22.8
2650_3210,603,Warbler,"Great Reed ",Acrocephalus,arundinaceus,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,149,0.7
2650_3210,604,Warbler,"Lesser Swamp ",Acrocephalus,gracilirostris,25.0,11.1,13.3,0.0,0.0,0.0,0.0,25.0,0.0,6.7,3.4,3.8,9,149,6.0
2650_3210,606,Warbler,"African Reed (Old, Use Common Reed Warbler)",Acrocephalus,baeticatus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,1,149,0.7
2650_3210,607,Warbler,Marsh,Acrocephalus,palustris,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,149,2.0
2650_3210,609,Warbler,"Little Rush",Bradypterus,baboecala,12.5,33.3,40.0,15.4,18.2,33.3,0.0,0.0,22.2,13.3,27.6,7.7,29,149,19.5
2650_3210,615,Wren-Warbler,Stierling's,Calamonastes,stierlingi,0.0,11.1,0.0,0.0,9.1,0.0,0.0,0.0,0.0,6.7,13.8,3.8,8,149,5.4
2650_3210,621,Crombec,Long-billed,Sylvietta,rufescens,37.5,44.4,46.7,53.8,63.6,33.3,57.1,75.0,44.4,53.3,44.8,73.1,80,149,53.7
2650_3210,622,Apalis,Bar-throated,Apalis,thoracica,12.5,0.0,0.0,7.7,0.0,0.0,14.3,0.0,0.0,6.7,0.0,7.7,6,149,4.0
2650_3210,624,Apalis,Rudd's,Apalis,ruddi,37.5,66.7,33.3,46.2,54.5,33.3,57.1,50.0,33.3,60.0,44.8,65.4,75,149,50.3
2650_3210,625,Apalis,Yellow-breasted,Apalis,flavida,37.5,88.9,46.7,69.2,72.7,100.0,0.0,75.0,77.8,40.0,58.6,53.8,85,149,57.0
2650_3210,627,Camaroptera,Green-backed,Camaroptera,brachyura,62.5,55.6,53.3,69.2,54.5,66.7,85.7,25.0,66.7,80.0,86.2,69.2,103,149,69.1
2650_3210,637,,Neddicky,Cisticola,fulvicapilla,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2,149,1.3
2650_3210,642,Cisticola,Rattling,Cisticola,chiniana,62.5,22.2,26.7,46.2,45.5,66.7,57.1,75.0,11.1,40.0,48.3,57.7,67,149,45.0
2650_3210,644,Cisticola,Red-faced,Cisticola,erythrops,12.5,11.1,6.7,7.7,18.2,33.3,0.0,25.0,11.1,26.7,24.1,34.6,29,149,19.5
2650_3210,647,Cisticola,Croaking,Cisticola,natalensis,0.0,11.1,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,3,149,2.0
2650_3210,648,Cisticola,Lazy,Cisticola,aberrans,12.5,0.0,0.0,0.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,3.8,5,149,3.4
2650_3210,649,Prinia,Tawny-flanked,Prinia,subflava,62.5,55.6,13.3,53.8,63.6,66.7,0.0,50.0,22.2,60.0,55.2,53.8,71,149,47.7
2650_3210,654,Flycatcher,Spotted,Muscicapa,striata,50.0,22.2,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,11.5,17,149,11.4
2650_3210,655,Flycatcher,"African Dusky",Muscicapa,adusta,12.5,0.0,6.7,23.1,45.5,0.0,0.0,0.0,0.0,6.7,3.4,3.8,13,149,8.7
2650_3210,656,Flycatcher,Ashy,Muscicapa,caerulescens,0.0,22.2,33.3,38.5,27.3,33.3,14.3,100.0,55.6,33.3,34.5,23.1,47,149,31.5
2650_3210,657,Tit-Flycatcher,Grey,Myioparus,plumbeus,37.5,33.3,6.7,15.4,27.3,66.7,14.3,50.0,0.0,33.3,27.6,69.2,48,149,32.2
2650_3210,658,Warbler,Chestnut-vented,Curruca,subcoerulea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,1,149,0.7
2650_3210,662,Flycatcher,Pale,Melaenornis,pallidus,37.5,22.2,0.0,0.0,27.3,33.3,0.0,0.0,22.2,13.3,24.1,38.5,30,149,20.1
2650_3210,664,Flycatcher,"Southern Black",Melaenornis,pammelaina,25.0,11.1,20.0,23.1,36.4,33.3,14.3,25.0,55.6,13.3,17.2,19.2,33,149,22.1
2650_3210,665,Flycatcher,Fiscal,Melaenornis,silens,0.0,0.0,0.0,0.0,36.4,33.3,14.3,0.0,11.1,0.0,0.0,0.0,7,149,4.7
