Pentad,Spp,Common_group,Common_species,Genus,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Records,Total_Cards,ReportingRate
3010_2840,581,Robin-Chat,Cape,Cossypha,caffra,,,,,,100.0,,,,,100.0,,2,2,100.0
3010_2840,637,,Neddicky,Cisticola,fulvicapilla,,,,,,0.0,,,,,100.0,,1,2,50.0
3010_2840,686,Wagtail,Cape,Motacilla,capensis,,,,,,100.0,,,,,100.0,,2,2,100.0
3010_2840,692,Pipit,African,Anthus,cinnamomeus,,,,,,0.0,,,,,100.0,,1,2,50.0
3010_2840,707,Fiscal,"Southern ",Lanius,collaris,,,,,,100.0,,,,,100.0,,2,2,100.0
3010_2840,709,Boubou,Southern,Laniarius,ferrugineus,,,,,,0.0,,,,,100.0,,1,2,50.0
3010_2840,722,,Bokmakierie,Telophorus,zeylonus,,,,,,100.0,,,,,100.0,,2,2,100.0
3010_2840,733,Starling,Common,Sturnus,vulgaris,,,,,,0.0,,,,,100.0,,1,2,50.0
3010_2840,745,Starling,Red-winged,Onychognathus,morio,,,,,,100.0,,,,,0.0,,1,2,50.0
3010_2840,751,Sunbird,Malachite,Nectarinia,famosa,,,,,,0.0,,,,,100.0,,1,2,50.0
3010_2840,784,Sparrow,House,Passer,domesticus,,,,,,0.0,,,,,100.0,,1,2,50.0
3010_2840,786,Sparrow,Cape,Passer,melanurus,,,,,,100.0,,,,,100.0,,2,2,100.0
3010_2840,799,Weaver,Cape,Ploceus,capensis,,,,,,0.0,,,,,100.0,,1,2,50.0
3010_2840,867,Seedeater,Streaky-headed,Crithagra,gularis,,,,,,0.0,,,,,100.0,,1,2,50.0
3010_2840,872,Bunting,Cinnamon-breasted,Emberiza,tahapisi,,,,,,100.0,,,,,0.0,,1,2,50.0
3010_2840,1172,White-eye,Cape,Zosterops,virens,,,,,,0.0,,,,,100.0,,1,2,50.0
3010_2840,4139,Prinia,Karoo,Prinia,maculosa,,,,,,0.0,,,,,100.0,,1,2,50.0
3010_2845,54,Heron,Grey,Ardea,cinerea,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,61,Egret,"Western Cattle",Bubulcus,ibis,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,84,Ibis,"Hadada ",Bostrychia,hagedash,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,96,Duck,Yellow-billed,Anas,undulata,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,114,Falcon,Lanner,Falco,biarmicus,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,130,Kite,"Black-winged ",Elanus,caeruleus,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,214,Crane,"Grey Crowned",Balearica,regulorum,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,245,Lapwing,Blacksmith,Vanellus,armatus,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,250,Snipe,African,Gallinago,nigripennis,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,270,Stilt,Black-winged,Himantopus,himantopus,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,311,Pigeon,Speckled,Columba,guinea,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,316,Dove,"Cape Turtle",Streptopelia,capicola,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,488,Lark,Red-capped,Calandrella,cinerea,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,493,Swallow,Barn,Hirundo,rustica,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,502,Swallow,"Greater Striped",Cecropis,cucullata,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,509,Martin,Brown-throated,Riparia,paludicola,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,522,Crow,Pied,Corvus,albus,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,523,Crow,Cape,Corvus,capensis,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,570,Chat,Familiar,Oenanthe,familiaris,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,646,Cisticola,Levaillant's,Cisticola,tinniens,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,686,Wagtail,Cape,Motacilla,capensis,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,692,Pipit,African,Anthus,cinnamomeus,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,703,Longclaw,Cape,Macronyx,capensis,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,707,Fiscal,"Southern ",Lanius,collaris,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,733,Starling,Common,Sturnus,vulgaris,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,746,Starling,Pied,Lamprotornis,bicolor,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,784,Sparrow,House,Passer,domesticus,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,786,Sparrow,Cape,Passer,melanurus,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,799,Weaver,Cape,Ploceus,capensis,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,808,Bishop,"Southern Red",Euplectes,orix,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,818,Widowbird,Long-tailed,Euplectes,progne,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,843,Waxbill,Common,Estrilda,astrild,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,857,Canary,Cape,Serinus,canicollis,,,,,,,,,,,100.0,,1,1,100.0
3010_2845,940,Dove,Rock,Columba,livia,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,61,Egret,"Western Cattle",Bubulcus,ibis,,,,,,,,,,,100.0,,1,1,100.0
3010_2850,152,Buzzard,Jackal,Buteo,rufofuscus,,,,,,,,,,,100.0,,1,1,100.0
