Pentad,Spp,Common_group,Common_species,Genus,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Records,Total_Cards,ReportingRate
2640_2755,304,Tern,White-winged,Chlidonias,leucopterus,0.0,28.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2,41,4.9
2640_2755,305,Tern,Whiskered,Chlidonias,hybrida,75.0,42.9,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0,25.0,8,41,19.5
2640_2755,311,Pigeon,Speckled,Columba,guinea,100.0,57.1,100.0,25.0,100.0,100.0,,100.0,100.0,100.0,75.0,75.0,33,41,80.5
2640_2755,312,Pigeon,"African Olive",Columba,arquatrix,0.0,0.0,0.0,0.0,20.0,50.0,,0.0,0.0,0.0,0.0,0.0,2,41,4.9
2640_2755,314,Dove,Red-eyed,Streptopelia,semitorquata,25.0,71.4,100.0,50.0,80.0,50.0,,42.9,100.0,100.0,25.0,75.0,24,41,58.5
2640_2755,316,Dove,"Cape Turtle",Streptopelia,capicola,100.0,100.0,100.0,50.0,100.0,100.0,,100.0,100.0,100.0,50.0,100.0,37,41,90.2
2640_2755,317,Dove,Laughing,Spilopelia,senegalensis,100.0,85.7,100.0,50.0,100.0,100.0,,85.7,100.0,100.0,50.0,100.0,35,41,85.4
2640_2755,318,Dove,Namaqua,Oena,capensis,25.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,25.0,0.0,2,41,4.9
2640_2755,343,Cuckoo,Red-chested,Cuculus,solitarius,25.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,25.0,25.0,3,41,7.3
2640_2755,352,Cuckoo,Diederik,Chrysococcyx,caprius,75.0,28.6,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,50.0,25.0,9,41,22.0
2640_2755,383,Swift,White-rumped,Apus,caffer,100.0,85.7,100.0,25.0,20.0,0.0,,0.0,0.0,100.0,75.0,100.0,22,41,53.7
2640_2755,385,Swift,Little,Apus,affinis,100.0,71.4,100.0,50.0,80.0,100.0,,57.1,100.0,100.0,75.0,75.0,31,41,75.6
2640_2755,387,Swift,"African Palm",Cypsiurus,parvus,25.0,42.9,0.0,25.0,20.0,50.0,,14.3,0.0,50.0,75.0,50.0,14,41,34.1
2640_2755,390,Mousebird,Speckled,Colius,striatus,25.0,14.3,100.0,0.0,40.0,50.0,,14.3,100.0,50.0,25.0,0.0,10,41,24.4
2640_2755,392,Mousebird,Red-faced,Urocolius,indicus,25.0,14.3,0.0,25.0,80.0,50.0,,14.3,0.0,50.0,25.0,25.0,12,41,29.3
2640_2755,394,Kingfisher,Pied,Ceryle,rudis,0.0,28.6,0.0,0.0,20.0,0.0,,14.3,0.0,0.0,0.0,0.0,4,41,9.8
2640_2755,395,Kingfisher,Giant,Megaceryle,maxima,0.0,28.6,100.0,25.0,20.0,0.0,,0.0,0.0,50.0,25.0,0.0,7,41,17.1
2640_2755,397,Kingfisher,Malachite,Corythornis,cristatus,0.0,14.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,41,2.4
2640_2755,404,Bee-eater,European,Merops,apiaster,0.0,28.6,0.0,25.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3,41,7.3
2640_2755,409,Bee-eater,White-fronted,Merops,bullockoides,0.0,28.6,0.0,25.0,40.0,0.0,,14.3,0.0,0.0,0.0,0.0,6,41,14.6
2640_2755,418,Hoopoe,African,Upupa,africana,25.0,28.6,0.0,50.0,60.0,50.0,,14.3,0.0,0.0,0.0,50.0,12,41,29.3
2640_2755,419,"Wood Hoopoe","Green ",Phoeniculus,purpureus,25.0,14.3,0.0,0.0,80.0,50.0,,0.0,0.0,50.0,0.0,25.0,9,41,22.0
2640_2755,431,Barbet,Black-collared,Lybius,torquatus,50.0,28.6,0.0,25.0,40.0,50.0,,14.3,0.0,50.0,50.0,25.0,13,41,31.7
2640_2755,439,Barbet,Crested,Trachyphonus,vaillantii,0.0,42.9,0.0,50.0,60.0,50.0,,28.6,0.0,100.0,50.0,50.0,17,41,41.5
2640_2755,440,Honeyguide,Greater,Indicator,indicator,0.0,0.0,0.0,0.0,0.0,0.0,,28.6,0.0,50.0,0.0,0.0,3,41,7.3
2640_2755,442,Honeyguide,Lesser,Indicator,minor,0.0,14.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,41,2.4
2640_2755,450,Woodpecker,Cardinal,Dendropicos,fuscescens,0.0,0.0,0.0,0.0,0.0,50.0,,0.0,0.0,0.0,0.0,0.0,1,41,2.4
2640_2755,453,Wryneck,Red-throated,Jynx,ruficollis,0.0,14.3,0.0,0.0,0.0,0.0,,14.3,0.0,0.0,25.0,0.0,3,41,7.3
2640_2755,458,Lark,Rufous-naped,Mirafra,africana,75.0,28.6,100.0,0.0,20.0,0.0,,14.3,0.0,50.0,25.0,50.0,12,41,29.3
2640_2755,488,Lark,Red-capped,Calandrella,cinerea,0.0,0.0,0.0,0.0,40.0,0.0,,0.0,0.0,0.0,0.0,0.0,2,41,4.9
2640_2755,493,Swallow,Barn,Hirundo,rustica,100.0,42.9,0.0,25.0,0.0,0.0,,0.0,0.0,50.0,50.0,75.0,14,41,34.1
2640_2755,495,Swallow,White-throated,Hirundo,albigularis,100.0,57.1,100.0,0.0,0.0,0.0,,0.0,0.0,50.0,50.0,75.0,15,41,36.6
2640_2755,502,Swallow,"Greater Striped",Cecropis,cucullata,100.0,100.0,100.0,50.0,60.0,0.0,,0.0,0.0,50.0,75.0,100.0,25,41,61.0
2640_2755,504,Swallow,"South African Cliff ",Petrochelidon,spilodera,75.0,14.3,100.0,0.0,0.0,0.0,,0.0,0.0,100.0,50.0,75.0,12,41,29.3
2640_2755,506,Martin,Rock,Ptyonoprogne,fuligula,50.0,42.9,100.0,25.0,40.0,50.0,,42.9,100.0,50.0,50.0,25.0,18,41,43.9
2640_2755,508,Martin,Sand,Riparia,riparia,0.0,14.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,41,2.4
2640_2755,509,Martin,Brown-throated,Riparia,paludicola,75.0,57.1,100.0,25.0,100.0,100.0,,71.4,100.0,50.0,25.0,50.0,26,41,63.4
2640_2755,510,Martin,Banded,Riparia,cincta,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,25.0,1,41,2.4
2640_2755,522,Crow,Pied,Corvus,albus,25.0,0.0,0.0,0.0,40.0,0.0,,42.9,100.0,100.0,75.0,50.0,14,41,34.1
2640_2755,544,Bulbul,"African Red-eyed",Pycnonotus,nigricans,75.0,85.7,100.0,25.0,80.0,100.0,,85.7,100.0,50.0,75.0,75.0,31,41,75.6
